Date and Time:                Mon May 26 09:36:36.398 2025
Software Version:             4.30.30034.0
Temperature (C):              -35
Model:                        DU401_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      15
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 16.25
Pixel Readout Time (usecs):   10
Serial Number:                24210
Pre-Amplifier Gain:           1.7x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
DongWooDM500i:
Serial Number:                
Wavelength (nm):              567
Grating Groove Density (l/mm):1200



547.21796	793
547.2569	777
547.29584	793
547.33478	791
547.37372	783
547.41266	797
547.4516	784
547.49054	791
547.52948	794
547.56842	802
547.60736	791
547.64636	805
547.6853	817
547.72418	815
547.76312	816
547.80206	838
547.841	832
547.87994	833
547.91888	842
547.95782	833
547.99677	866
548.03571	852
548.07465	810
548.11359	858
548.15247	863
548.19141	875
548.23035	838
548.26929	860
548.30817	875
548.34711	873
548.38605	866
548.42499	875
548.46387	864
548.50281	876
548.54175	886
548.58063	895
548.61957	874
548.65851	902
548.69739	867
548.73633	881
548.77527	893
548.81415	893
548.85309	888
548.89197	903
548.93091	901
548.96979	916
549.00873	902
549.04761	898
549.08655	911
549.12543	897
549.16437	898
549.20325	905
549.24219	932
549.28107	920
549.31995	890
549.35889	895
549.39777	924
549.43665	923
549.47559	897
549.51447	911
549.55334	951
549.59229	934
549.63116	918
549.67004	923
549.70892	942
549.74786	952
549.78674	923
549.82562	954
549.8645	960
549.90338	954
549.94226	955
549.9812	967
550.02008	966
550.05896	970
550.09784	959
550.13672	984
550.1756	980
550.21448	982
550.25336	970
550.29224	969
550.33112	995
550.37	1007
550.40887	983
550.44775	997
550.48663	1001
550.52551	1015
550.56439	1001
550.60327	1004
550.64215	1011
550.68103	1025
550.71985	1023
550.75873	1005
550.79761	1025
550.83649	1034
550.87537	1026
550.91418	1030
550.95306	1048
550.99194	1034
551.03082	1024
551.06964	1019
551.10852	1037
551.1474	1022
551.18628	1025
551.2251	1045
551.26398	1077
551.3028	1046
551.34167	1051
551.38055	1073
551.41937	1067
551.45825	1055
551.49707	1034
551.53595	1054
551.57477	1050
551.61365	1082
551.65247	1040
551.69135	1042
551.73016	1077
551.76904	1059
551.80786	1061
551.84674	1059
551.88556	1054
551.92444	1072
551.96326	1054
552.00208	1077
552.04095	1064
552.07977	1086
552.11859	1074
552.15747	1079
552.19629	1084
552.23511	1081
552.27393	1068
552.31281	1088
552.35162	1080
552.39044	1066
552.42926	1106
552.46808	1098
552.50696	1105
552.54578	1097
552.58459	1095
552.62341	1106
552.66223	1122
552.70105	1118
552.73987	1104
552.77869	1127
552.8175	1119
552.85632	1104
552.89514	1122
552.93396	1143
552.97278	1147
553.0116	1138
553.05042	1126
553.08923	1151
553.12805	1151
553.16687	1188
553.20569	1156
553.24451	1153
553.28333	1186
553.32214	1194
553.3609	1172
553.39972	1176
553.43854	1202
553.47736	1189
553.51617	1168
553.55493	1197
553.59375	1225
553.63257	1225
553.67139	1201
553.71014	1218
553.74896	1213
553.78778	1230
553.82654	1208
553.86536	1226
553.90417	1242
553.94293	1253
553.98175	1218
554.02051	1249
554.05933	1262
554.09808	1252
554.1369	1249
554.17566	1241
554.21448	1237
554.25323	1241
554.29205	1244
554.33081	1242
554.36963	1249
554.40839	1239
554.4472	1226
554.48596	1256
554.52472	1236
554.56354	1275
554.60229	1229
554.64105	1249
554.67987	1250
554.71863	1282
554.75739	1261
554.7962	1250
554.83496	1261
554.87372	1232
554.91248	1237
554.95129	1261
554.99005	1261
555.02881	1273
555.06757	1259
555.10632	1246
555.14508	1275
555.18384	1264
555.22266	1257
555.26141	1256
555.30017	1272
555.33893	1271
555.37769	1254
555.41644	1261
555.4552	1279
555.49396	1304
555.53271	1264
555.57147	1271
555.61023	1294
555.64899	1279
555.68768	1298
555.72644	1247
555.7652	1279
555.80396	1297
555.84271	1279
555.88147	1304
555.92023	1273
555.95892	1304
555.99768	1272
556.03644	1298
556.0752	1306
556.11395	1302
556.15265	1301
556.19141	1317
556.23016	1323
556.26886	1316
556.30762	1314
556.34637	1330
556.38507	1343
556.42383	1323
556.46252	1326
556.50128	1346
556.54004	1333
556.57874	1321
556.61749	1340
556.65619	1320
556.69495	1343
556.73364	1327
556.7724	1335
