Date and Time:                Mon May 26 12:31:36.898 2025
Software Version:             4.30.30034.0
Temperature (C):              -35
Model:                        DU401_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      15
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 16.25
Pixel Readout Time (usecs):   10
Serial Number:                24210
Pre-Amplifier Gain:           1.7x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
DongWooDM500i:
Serial Number:                
Wavelength (nm):              690
Grating Groove Density (l/mm):1200



671.08093	294
671.11823	320
671.15552	326
671.19281	310
671.2301	299
671.26746	313
671.30475	307
671.34204	315
671.37933	298
671.41663	316
671.45392	308
671.49121	315
671.5285	280
671.5658	319
671.60309	312
671.64038	299
671.67761	303
671.7149	338
671.7522	308
671.78949	304
671.82678	316
671.86407	305
671.90137	310
671.9386	297
671.97589	312
672.01318	313
672.05048	310
672.08771	294
672.125	298
672.16229	300
672.19952	292
672.23682	289
672.27411	308
672.31134	314
672.34863	306
672.38586	294
672.42316	293
672.46045	307
672.49768	307
672.53497	289
672.5722	303
672.6095	285
672.64673	291
672.68396	308
672.72125	298
672.75848	296
672.79578	312
672.83301	283
672.87024	287
672.90753	313
672.94476	286
672.98199	274
673.01929	303
673.05652	307
673.09375	288
673.13098	267
673.16827	312
673.20551	299
673.24274	313
673.27997	306
673.3172	283
673.35443	293
673.39172	279
673.42896	293
673.46619	280
673.50342	306
673.54065	314
673.57788	285
673.61511	288
673.65234	289
673.68958	303
673.72681	295
673.76404	277
673.80127	288
673.8385	306
673.87567	278
673.9129	262
673.95013	309
673.98737	294
674.0246	280
674.06183	271
674.099	282
674.13623	273
674.17346	277
674.21069	288
674.24786	275
674.2851	288
674.32233	273
674.3595	288
674.39673	282
674.43396	286
674.47113	254
674.50836	275
674.54553	294
674.58276	291
674.61993	277
674.65717	273
674.6944	290
674.73157	271
674.76874	271
674.80597	257
674.84314	278
674.88037	286
674.91754	281
674.95477	269
674.99194	283
675.02911	286
675.06635	270
675.10352	279
675.14069	280
675.17786	267
675.21509	274
675.25226	271
675.28943	274
675.3266	272
675.36383	257
675.401	268
675.43817	269
675.47534	265
675.51251	243
675.54968	250
675.58685	262
675.62402	269
675.66119	274
675.69836	271
675.73553	262
675.77271	294
675.80988	257
675.84705	250
675.88422	272
675.92139	280
675.95856	255
675.99573	263
676.0329	271
676.07007	258
676.10718	246
676.14435	254
676.18152	261
676.21869	270
676.25586	264
676.29297	260
676.33014	269
676.36731	263
676.40442	245
676.44159	232
676.47876	283
676.51587	254
676.55304	253
676.59021	261
676.62732	264
676.66449	270
676.7016	247
676.73877	232
676.77588	264
676.81305	250
676.85016	259
676.88733	262
676.92444	259
676.96161	250
676.99872	246
677.03583	237
677.073	266
677.11011	274
677.14728	238
677.18439	261
677.2215	249
677.25861	243
677.29578	251
677.33289	240
677.37	265
677.4071	261
677.44427	235
677.48138	248
677.51849	245
677.5556	261
677.59271	240
677.62982	245
677.66693	254
677.70404	271
677.74115	247
677.77826	252
677.81537	253
677.85248	268
677.88959	248
677.9267	233
677.96381	272
678.00092	245
678.03802	245
678.07513	239
678.11224	271
678.14935	253
678.18646	239
678.22351	220
678.26062	265
678.29773	251
678.33484	229
678.37189	248
678.409	251
678.44611	240
678.48322	249
678.52026	257
678.55737	259
678.59442	251
678.63153	250
678.66864	238
678.70569	254
678.7428	245
678.77985	238
678.81696	244
678.854	258
678.89111	258
678.92816	225
678.96527	235
679.00232	242
679.03943	253
679.07648	236
679.11353	226
679.15063	237
679.18768	229
679.22473	243
679.26184	217
679.29889	233
679.33594	242
679.37305	238
679.4101	249
679.44714	246
679.48419	228
679.52124	241
679.55835	245
679.5954	241
679.63245	248
679.66949	238
679.70654	228
679.74359	251
679.78064	232
679.81769	232
679.85474	227
679.89178	256
679.92883	237
679.96588	226
680.00293	227
680.03998	238
680.07703	227
680.11407	232
680.15112	230
680.18811	234
680.22516	234
680.26221	217
680.29926	217
680.3363	243
680.37329	240
680.41034	231
680.44739	226
680.48444	229
680.52142	235
680.55847	246
680.59552	235
680.63251	251
680.66956	217
680.70654	213
680.74359	204
680.78064	250
680.81763	227
680.85468	223
680.89166	217
680.92871	234
680.9657	237
681.00269	223
681.03973	224
681.07672	231
681.11377	216
