Date and Time:                Mon May 26 09:39:38.863 2025
Software Version:             4.30.30034.0
Temperature (C):              -35
Model:                        DU401_BVF
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      15
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 16.25
Pixel Readout Time (usecs):   10
Serial Number:                24210
Pre-Amplifier Gain:           1.7x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
DongWooDM500i:
Serial Number:                
Wavelength (nm):              690
Grating Groove Density (l/mm):1200



671.08093	36
671.11823	33
671.15552	23
671.19281	22
671.2301	31
671.26746	35
671.30475	21
671.34204	24
671.37933	33
671.41663	46
671.45392	24
671.49121	18
671.5285	39
671.5658	45
671.60309	26
671.64038	22
671.67761	17
671.7149	31
671.7522	21
671.78949	34
671.82678	34
671.86407	43
671.90137	38
671.9386	27
671.97589	35
672.01318	41
672.05048	29
672.08771	22
672.125	40
672.16229	45
672.19952	36
672.23682	31
672.27411	27
672.31134	43
672.34863	20
672.38586	16
672.42316	42
672.46045	39
672.49768	20
672.53497	11
672.5722	32
672.6095	41
672.64673	34
672.68396	13
672.72125	44
672.75848	48
672.79578	32
672.83301	20
672.87024	24
672.90753	39
672.94476	28
672.98199	24
673.01929	32
673.05652	54
673.09375	33
673.13098	5
673.16827	44
673.20551	44
673.24274	29
673.27997	28
673.3172	37
673.35443	40
673.39172	28
673.42896	16
673.46619	45
673.50342	40
673.54065	39
673.57788	21
673.61511	40
673.65234	60
673.68958	24
673.72681	34
673.76404	26
673.80127	49
673.8385	30
673.87567	29
673.9129	46
673.95013	40
673.98737	37
674.0246	29
674.06183	39
674.099	55
674.13623	21
674.17346	29
674.21069	29
674.24786	43
674.2851	36
674.32233	32
674.3595	56
674.39673	53
674.43396	18
674.47113	31
674.50836	41
674.54553	38
674.58276	42
674.61993	25
674.65717	38
674.6944	39
674.73157	43
674.76874	26
674.80597	48
674.84314	33
674.88037	31
674.91754	34
674.95477	32
674.99194	44
675.02911	29
675.06635	35
675.10352	44
675.14069	40
675.17786	22
675.21509	18
675.25226	40
675.28943	53
675.3266	29
675.36383	16
675.401	33
675.43817	40
675.47534	24
675.51251	33
675.54968	35
675.58685	42
675.62402	40
675.66119	26
675.69836	31
675.73553	32
675.77271	33
675.80988	24
675.84705	38
675.88422	50
675.92139	31
675.95856	15
675.99573	31
676.0329	51
676.07007	42
676.10718	18
676.14435	40
676.18152	39
676.21869	31
676.25586	15
676.29297	28
676.33014	48
676.36731	31
676.40442	10
676.44159	28
676.47876	30
676.51587	15
676.55304	18
676.59021	37
676.62732	27
676.66449	38
676.7016	17
676.73877	29
676.77588	44
676.81305	29
676.85016	9
676.88733	40
676.92444	46
676.96161	36
676.99872	14
677.03583	34
677.073	40
677.11011	27
677.14728	9
677.18439	31
677.2215	37
677.25861	22
677.29578	19
677.33289	31
677.37	46
677.4071	39
677.44427	29
677.48138	29
677.51849	35
677.5556	33
677.59271	20
677.62982	29
677.66693	30
677.70404	32
677.74115	27
677.77826	29
677.81537	27
677.85248	28
677.88959	27
677.9267	40
677.96381	37
678.00092	24
678.03802	28
678.07513	28
678.11224	35
678.14935	13
678.18646	24
678.22351	39
678.26062	45
678.29773	31
678.33484	23
678.37189	42
678.409	31
678.44611	30
678.48322	15
678.52026	35
678.55737	31
678.59442	22
678.63153	30
678.66864	36
678.70569	40
678.7428	34
678.77985	30
678.81696	41
678.854	47
678.89111	14
678.92816	21
678.96527	31
679.00232	37
679.03943	18
679.07648	12
679.11353	31
679.15063	35
679.18768	36
679.22473	10
679.26184	24
679.29889	40
679.33594	23
679.37305	28
679.4101	30
679.44714	40
679.48419	36
679.52124	10
679.55835	27
679.5954	42
679.63245	18
679.66949	7
679.70654	29
679.74359	33
679.78064	36
679.81769	23
679.85474	26
679.89178	26
679.92883	37
679.96588	24
680.00293	32
680.03998	37
680.07703	38
680.11407	28
680.15112	31
680.18811	29
680.22516	16
680.26221	6
680.29926	41
680.3363	31
680.37329	38
680.41034	16
680.44739	18
680.48444	40
680.52142	26
680.55847	5
680.59552	22
680.63251	37
680.66956	26
680.70654	12
680.74359	28
680.78064	34
680.81763	35
680.85468	19
680.89166	45
680.92871	45
680.9657	24
681.00269	20
681.03973	47
681.07672	34
681.11377	29
